link_from_QID	link_from_title	link_to_title
Q299700	대니얼 대 김	미국
Q299700	대니얼 대 김	뉴욕주
Q299700	대니얼 대 김	배우
Q299700	대니얼 대 김	프로듀서
Q299700	대니얼 대 김	1968년
Q299700	대니얼 대 김	8월 4일
Q299700	대니얼 대 김	한국계 미국인
Q299700	대니얼 대 김	배우
Q299700	대니얼 대 김	미국
Q299700	대니얼 대 김	로스트
Q299700	대니얼 대 김	김윤진
Q299700	대니얼 대 김	권진수
Q299700	대니얼 대 김	마이클 크라이튼
Q299700	대니얼 대 김	스파이더 맨 2
Q299700	대니얼 대 김	로스트
Q299700	대니얼 대 김	2005년
Q299700	대니얼 대 김	피플 (잡지)
Q299700	대니얼 대 김	영어
Q299700	대니얼 대 김	앤젤 (텔레비전)
Q299700	대니얼 대 김	24 (텔레비전)
Q299700	대니얼 대 김	크루세이드
Q299700	대니얼 대 김	CSI과학수사대
Q299700	대니얼 대 김	사인펠드
Q299700	대니얼 대 김	NYPD 블루
Q299700	대니얼 대 김	ER (텔레비전)
Q299700	대니얼 대 김	하버포드 대학
Q299700	대니얼 대 김	정치학
Q299700	대니얼 대 김	연극
Q299700	대니얼 대 김	브린 마 대학
Q299700	대니얼 대 김	코로나바이러스
Q299700	대니얼 대 김	데드라인
Q299700	대니얼 대 김	애딕티드 러브
Q299700	대니얼 대 김	크레이들 투 그레이브
Q299700	대니얼 대 김	헐크 (영화)
Q299700	대니얼 대 김	스파이더맨 2
Q299700	대니얼 대 김	크래쉬 (2004년 영화)
Q299700	대니얼 대 김	케이브
Q299700	대니얼 대 김	아레나
Q299700	대니얼 대 김	인서전트 (영화)
Q299700	대니얼 대 김	참드
Q299700	대니얼 대 김	엔젤 (드라마)
Q299700	대니얼 대 김	24 (드라마)
Q299700	대니얼 대 김	ER (드라마)
Q299700	대니얼 대 김	위드아웃 어 트레이스
Q299700	대니얼 대 김	로스트
Q299700	대니얼 대 김	저스티스 리그 (애니메이션)
Q299700	대니얼 대 김	하와이 파이브-0
Q299700	대니얼 대 김	코라의 전설
Q299700	대니얼 대 김	원스 어폰 어 타임 (드라마)
Q1133513	어롤디스 채프먼	쿠바
Q1133513	어롤디스 채프먼	올긴 주
Q1133513	어롤디스 채프먼	투수
Q1133513	어롤디스 채프먼	2010년
Q1133513	어롤디스 채프먼	1월 11일
Q1133513	어롤디스 채프먼	2010년
Q1133513	어롤디스 채프먼	9월 1일
Q1133513	어롤디스 채프먼	사부에소스 데 올긴
Q1133513	어롤디스 채프먼	신시내티 레즈
Q1133513	어롤디스 채프먼	뉴욕 양키스
Q1133513	어롤디스 채프먼	시카고 컵스
Q1133513	어롤디스 채프먼	뉴욕 양키스
Q1133513	어롤디스 채프먼	2009년 월드 베이스볼 클래식
Q1133513	어롤디스 채프먼	2007년 야구 월드컵
Q1133513	어롤디스 채프먼	야구
Q1133513	어롤디스 채프먼	야구 월드컵
Q1133513	어롤디스 채프먼	2007년 야구 월드컵
Q1133513	어롤디스 채프먼	팬아메리칸 게임
Q1133513	어롤디스 채프먼	2007년 팬아메리칸 게임
Q1133513	어롤디스 채프먼	2007년 팬아메리칸 게임 야구
Q1133513	어롤디스 채프먼	1988년
Q1133513	어롤디스 채프먼	2월 28일
Q1133513	어롤디스 채프먼	쿠바
Q1133513	어롤디스 채프먼	미국
Q1133513	어롤디스 채프먼	투수
Q1133513	어롤디스 채프먼	메이저 리그 베이스볼
