link_from_QID	link_from_title	link_to_title
Q107249	Tony Shalhoub	Green Bay (Wisconsin)
Q107249	Tony Shalhoub	Wisconsin
Q107249	Tony Shalhoub	estadunidenses
Q107249	Tony Shalhoub	Brooke Adams
Q107249	Tony Shalhoub	Emmy do Primetime para Melhor Actor numa Série de Comédia
Q107249	Tony Shalhoub	Monk
Q107249	Tony Shalhoub	Monk
Q107249	Tony Shalhoub	Monk
Q107249	Tony Shalhoub	Emmy do Primetime de melhor ator secundário numa série de comédia
Q107249	Tony Shalhoub	The Marvelous Mrs. Maisel
Q107249	Tony Shalhoub	Monk
Q107249	Tony Shalhoub	Prémio Screen Actors Guild de melhor ator em série de comédia
Q107249	Tony Shalhoub	Monk
Q107249	Tony Shalhoub	Monk
Q107249	Tony Shalhoub	The Marvelous Mrs. Maisel
Q107249	Tony Shalhoub	The Marvelous Mrs. Maisel
Q107249	Tony Shalhoub	Prémio Screen Actors Guild para melhor elenco em série de comédia
Q107249	Tony Shalhoub	The Marvelous Mrs. Maisel
Q107249	Tony Shalhoub	The Marvelous Mrs. Maisel
Q107249	Tony Shalhoub	Tony Award de Melhor Ator em Musical
Q107249	Tony Shalhoub	Green Bay (Wisconsin)
Q107249	Tony Shalhoub	Wisconsin
Q107249	Tony Shalhoub	9 de outubro
Q107249	Tony Shalhoub	1953
Q107249	Tony Shalhoub	ator
Q107249	Tony Shalhoub	estadunidenses
Q107249	Tony Shalhoub	Líbano
Q107249	Tony Shalhoub	Monk
Q107249	Tony Shalhoub	American Repertory Theatre
Q107249	Tony Shalhoub	Prêmio Tony
Q107249	Tony Shalhoub	cinema
Q107249	Tony Shalhoub	televisão
Q107249	Tony Shalhoub	teatro
Q107249	Tony Shalhoub	Wings (série)
Q107249	Tony Shalhoub	American Broadcasting Company
Q107249	Tony Shalhoub	Michael Richards
Q107249	Tony Shalhoub	Seinfeld
Q107249	Tony Shalhoub	USA Network
Q107249	Tony Shalhoub	Transtorno Obsessivo-Compulsivo
Q107249	Tony Shalhoub	John Ritter
Q107249	Tony Shalhoub	Henry Winkler
Q107249	Tony Shalhoub	Dave Foley
Q107249	Tony Shalhoub	Alfred Molina
Q107249	Tony Shalhoub	Stanley Tucci
Q107249	Tony Shalhoub	Golden Globe Awards
Q107249	Tony Shalhoub	Larry David
Q107249	Tony Shalhoub	Eric McCormack
Q107249	Tony Shalhoub	Bernie Mac
Q107249	Tony Shalhoub	Matt LeBlanc
Q107249	Tony Shalhoub	Screen Actors Guild
Q107249	Tony Shalhoub	Emmy
Q107249	Tony Shalhoub	Longtime Companion
Q107249	Tony Shalhoub	Barton Fink
Q107249	Tony Shalhoub	Ethan Coen
Q107249	Tony Shalhoub	Joel Coen
Q107249	Tony Shalhoub	O Homem que Não Estava Lá
Q107249	Tony Shalhoub	Big Night
Q107249	Tony Shalhoub	Primary Colors
Q107249	Tony Shalhoub	Men in Black
Q107249	Tony Shalhoub	Spy Kids
Q107249	Tony Shalhoub	Stanley Tucci
Q107249	Tony Shalhoub	Paulie
Q107249	Tony Shalhoub	13 Fantasmas
Q107249	Tony Shalhoub	Carros (filme)
Q107249	Tony Shalhoub	Howard Dean
Q107249	Tony Shalhoub	George W. Bush
Q107249	Tony Shalhoub	Brooke Adams
Q107249	Tony Shalhoub	Jane Kaczmarek
Q107249	Tony Shalhoub	 the blacklist
Q107249	Tony Shalhoub	Pain & Gain
Q107249	Tony Shalhoub	Hemingway & Gellhorn
Q107249	Tony Shalhoub	Carros 2
Q107249	Tony Shalhoub	How Do You Know
Q107249	Tony Shalhoub	1408 (filme)
Q107249	Tony Shalhoub	Cars (filme)
Q107249	Tony Shalhoub	The Great New Wonderful
Q107249	Tony Shalhoub	The Last Shot
Q107249	Tony Shalhoub	Against the Ropes
Q107249	Tony Shalhoub	Men in Black II
Q107249	Tony Shalhoub	Life or Something Like It
Q107249	Tony Shalhoub	Made-Up
Q107249	Tony Shalhoub	Impostor
Q107249	Tony Shalhoub	Thir13en Ghosts
Q107249	Tony Shalhoub	The Man Who Wasn't There
Q107249	Tony Shalhoub	Spy Kids
Q107249	Tony Shalhoub	Galaxy Quest
Q107249	Tony Shalhoub	The Tic Code
Q107249	Tony Shalhoub	A Civil Action
Q107249	Tony Shalhoub	The Siege
Q107249	Tony Shalhoub	The Impostors
Q107249	Tony Shalhoub	Paulie
Q107249	Tony Shalhoub	Primary Colors
Q107249	Tony Shalhoub	A Life Less Ordinary
Q107249	Tony Shalhoub	Gattaca
Q107249	Tony Shalhoub	Men in Black
Q107249	Tony Shalhoub	Big Night
Q107249	Tony Shalhoub	I.Q.
Q107249	Tony Shalhoub	Addams Family Values
Q107249	Tony Shalhoub	Searching for Bobby Fischer
Q107249	Tony Shalhoub	Honeymoon in Vegas
Q107249	Tony Shalhoub	Barton Fink
Q107249	Tony Shalhoub	Quick Change
Q107249	Tony Shalhoub	Longtime Companion
Q107249	Tony Shalhoub	Monk
Q107249	Tony Shalhoub	MADtv
Q107249	Tony Shalhoub	Ally McBeal
Q107249	Tony Shalhoub	Wings (série)
Q107249	Tony Shalhoub	Frasier
