QID,page id,item,wiki db,category,Unnamed: 5
Q321770,1665120,آرون تفيت,arwiki,Human,False
Q88788580,7368388,آلان فايندر,arwiki,Human,False
Q3374,5432015,آن صوفي موتر,arwiki,Human,False
Q88963159,7379971,آنجيلو روتولي,arwiki,Human,False
Q4757445,7379396,آندرو جاك (مدرب لهجات),arwiki,Human,False
Q4769295,5679073,آني غلين,arwiki,Human,False
Q47059,330191,آيشواريا راي,arwiki,Human,False
Q2818923,6815281,أ. جاي بولوك,arwiki,Human,False
Q21002307,7423539,أبا كياري,arwiki,Human,False
Q88202504,7352262,أبحاث إعادة استخدام الأدوية لعلاج كوفيد-19,arwiki,Others,False
Q187058,672088,أبهيشيك باتشان,arwiki,Human,False
Q11569769,6244101,أتسوشي كاتاوكا,arwiki,Human,False
Q88058672,7349490,أثر جائحة فيروس كورونا على الحمل 2019-20,arwiki,Others,False
Q96278556,7565028,أثر جائحة فيروس كورونا على حج 1441 هـ,arwiki,Others,False
Q87589400,7331753,أثر جائحة كورونا 2019–20 على الرياضة,arwiki,Others,False
Q401433,60826,أحمد راضي,arwiki,Human,False
Q4792170,6027504,أرلين سوندرز,arwiki,Human,False
Q88799719,7389548,أسامة رياض,arwiki,Human,False
Q29462882,6132141,ألان أبيل (فنان إيقاعي),arwiki,Human,False
Q4730611,5394662,ألان فونغ,arwiki,Human,False
Q2918270,6012119,ألان ميريل,arwiki,Human,False
Q3910,547236,ألبير الثاني (أمير موناكو),arwiki,Human,False
Q371652,715786,ألبين إكدال,arwiki,Human,False
Q4722019,6062977,ألفونسو كورتينا,arwiki,Human,False
Q1764061,3108637,ألكسندرا وينتوورث,arwiki,Human,False
Q720068,5196793,ألن دافياو,arwiki,Human,False
Q4716347,4846679,أليساندرو فافالي,arwiki,Human,False
Q4717362,3200414,أليكس لين,arwiki,Human,False
Q932204,3959879,ألين غارفيلد,arwiki,Human,False
Q9570,420060,أميتاب باتشان,arwiki,Human,False
Q433215,4742398,أنا باستور جوليان,arwiki,Human,False
Q573246,292761,أنتوني فاوتشي,arwiki,Human,False
Q24005266,3886457,أندرو ويات,arwiki,Human,False
Q42402,100061,أندريا بوتشيلي,arwiki,Human,False
Q2014922,5597988,أندي كوهن,arwiki,Human,False
Q463585,3756668,أنديرا فارما,arwiki,Human,False
Q16093542,5740209,أنطوني بيلي (كاتب),arwiki,Human,False
Q16485758,5533711,أنطونيو غونزاليس باتشيكو,arwiki,Human,False
Q3593648,6023448,أوسكار تشافيز,arwiki,Human,False
Q10340557,6751529,أولغا سافاري,arwiki,Human,False
Q164730,344069,أولغا كوريلنكو,arwiki,Human,False
Q7085856,7370221,أولي هولمكويست,arwiki,Human,False
Q88181154,7361856,أيلين بافييرا,arwiki,Human,False
Q1771,2911719,إحسان حدادي,arwiki,Human,False
Q342604,1913056,إدريس إلبا,arwiki,Human,False
Q6070306,6824131,إريس إم. زافالا,arwiki,Human,False
Q1317442,3196472,إريك بلدسو,arwiki,Human,False
Q5569181,7425480,إريك بلفراج,arwiki,Human,False
Q296684,362901,إزيكييل غاراي,arwiki,Human,False
Q5397780,1927730,إسحاق جهانغيري,arwiki,Human,False
Q173923,374895,إليا بيتكوفيتش,arwiki,Human,False
Q579231,2163216,إلياكيم مانغالا,arwiki,Human,False
Q7945702,7434793,إيان ليبكين,arwiki,Human,False
Q3804395,7332969,إيتالو دي زان,arwiki,Human,False
Q35633,4313854,إيتزيار إيتونو,arwiki,Human,False
Q3270870,6726949,إيفانجيلوس ماريناكيس,arwiki,Human,False
Q2896225,5258920,إيلين داروز,arwiki,Human,False
Q91280428,7473573,احتجاجات على الاستجابات لوباء COVID-19,arwiki,Others,False
Q26261095,3250494,احسان دعدوش,arwiki,Human,False
Q86901049,7340744,اختبار كوفيد-19,arwiki,Others,False
Q85872065,7327580,الأثر الاقتصادي والاجتماعي لجائحة فيروس كورونا 2019–20,arwiki,Others,False
Q90085156,7422411,الأثر البيئي لجائحة فيروس كورونا 2019-20,arwiki,Others,False
Q87866152,7537695,الإغلاقات بسبب جائحة كورونا-19,arwiki,Others,False
Q87407631,7330319,الاثنين الأسود (2020),arwiki,Others,False
Q89016387,7378668,التسلسل الزمني جائحة فيروس كورونا 2019–20 في أبريل 2020,arwiki,Others,False
Q85173796,7353917,التسلسل الزمني جائحة فيروس كورونا 2019–20 في فبراير 2020,arwiki,Others,False
