QID,page id,item,wiki db,category
Q303293,5835374,Aarón Padilla Gutiérrez,dewiki,Human
Q321770,7450828,Aaron Tveit,dewiki,Human
Q21002307,11258780,Abba Kyari,dewiki,Human
Q187058,819497,Abhishek Bachchan,dewiki,Human
Q3355833,11251905,Adam Alsing,dewiki,Human
Q9139694,8834468,Adam Jarubas,dewiki,Human
Q2824007,11144592,Adam Schlesinger,dewiki,Human
Q27022448,9599835,Adlin Mair-Clarke,dewiki,Human
Q401433,1581933,Ahmed Radhi,dewiki,Human
Q88181154,11211304,Aileen Baviera,dewiki,Human
Q47059,259018,Aishwarya Rai,dewiki,Human
Q2918270,11226762,Alan Merrill,dewiki,Human
Q3910,104687,Albert II. (Monaco),dewiki,Human
Q17266671,8583115,Alberto Cirio,dewiki,Human
Q371652,3144749,Albin Ekdal,dewiki,Human
Q4713827,11285154,Aldir Blanc,dewiki,Human
Q549752,6894940,Aldo de Cillo Pagotto,dewiki,Human
Q89898390,11241074,Alex Layne,dewiki,Human
Q4717362,7760103,Alex Len,dewiki,Human
Q71763,289571,Alexander Graf Lambsdorff,dewiki,Human
Q4720226,9007017,"Alexander Thynn, 7. Marquess of Bath",dewiki,Human
Q4722019,11237229,Alfonso Cortina,dewiki,Human
Q439354,4390186,Ali Akbar Velayati,dewiki,Human
Q336363,837548,Ali Laridschani,dewiki,Human
Q4730611,10322510,Allan Fung,dewiki,Human
Q720068,2362755,Allen Daviau,dewiki,Human
Q932204,4051669,Allen Garfield,dewiki,Human
Q4738985,11315702,Amabie,dewiki,Others
Q9570,651219,Amitabh Bachchan,dewiki,Human
Q433215,6669535,Ana Pastor Julián,dewiki,Human
Q517765,5916874,André Chassaigne,dewiki,Human
Q16263095,11246761,André Manaranche,dewiki,Human
Q42402,194340,Andrea Bocelli,dewiki,Human
Q4757445,11229250,Andrew Jack,dewiki,Human
Q2014922,9977980,Andy Cohen,dewiki,Human
Q20971281,8978199,Angelo De Donatis,dewiki,Human
Q536199,6730493,Angelo Moreschi,dewiki,Human
Q89499451,11253998,Anick Jesdanun,dewiki,Human
Q90479494,11249213,Ann Sullivan,dewiki,Human
Q16526911,11338713,Anna Ascani,dewiki,Human
Q3374,2725796,Anne-Sophie Mutter,dewiki,Human
Q16093542,10365971,Anthony Bailey (Schriftsteller),dewiki,Human
Q573246,6149297,Anthony Fauci,dewiki,Human
Q51841506,10986277,Antonio Neri (Manager),dewiki,Human
Q609891,4570593,Antti Törmänen,dewiki,Human
Q89799501,11240084,Art Paleczny,dewiki,Human
Q16647536,11237319,Arthur Whistler,dewiki,Human
