QID,page id,item,wiki db,category
Q303293,2784419,Aarón Padilla Gutiérrez,eswiki,Human
Q321770,5024573,Aaron Tveit,eswiki,Human
Q21002307,9379402,Abba Kyari,eswiki,Human
Q187058,981666,Abhishek Bachchan,eswiki,Human
Q4667894,9488107,Abiola Ajimobi,eswiki,Human
Q3355833,9375456,Adam Alsing,eswiki,Human
Q2824007,1028624,Adam Schlesinger,eswiki,Human
Q5658653,2730789,Adán Augusto López Hernández,eswiki,Human
Q5660517,3212974,Agustín Alezzo,eswiki,Human
Q88181154,9340072,Aileen Baviera,eswiki,Human
Q47059,141793,Aishwarya Rai,eswiki,Human
Q29462882,9396475,Alan Abel (músico),eswiki,Human
Q88788580,9348703,Alan Finder,eswiki,Human
Q2918270,4870829,Alan Merrill,eswiki,Human
Q3910,119792,Alberto II de Mónaco,eswiki,Human
Q371652,1687901,Albin Ekdal,eswiki,Human
Q549752,9381627,Aldo Pagotto,eswiki,Human
Q4717362,6049634,Alex Len,eswiki,Human
Q71763,6493026,Alexander Lambsdorff,eswiki,Human
Q4128446,9395683,Alexander Vustin,eswiki,Human
Q4722019,874620,Alfonso Cortina,eswiki,Human
Q439354,5798681,Alí Akbar Velayatí,eswiki,Human
Q336363,4003572,Alí Lariyaní,eswiki,Human
Q720068,6955206,Allen Daviau,eswiki,Human
Q932204,9363103,Allen Garfield,eswiki,Human
Q4738985,9513372,Amabie,eswiki,Others
Q9570,995472,Amitabh Bachchan,eswiki,Human
Q16300525,6079391,Ana García Carías,eswiki,Human
Q433215,773689,Ana Pastor Julián,eswiki,Human
Q16263095,9376274,André Manaranche,eswiki,Human
Q42402,284557,Andrea Bocelli,eswiki,Human
Q24005266,9165446,Andrew Watt,eswiki,Human
Q2014922,5483179,Andy Cohen,eswiki,Human
Q89108362,9351897,Ángel Sánchez Mendoza,eswiki,Human
Q20971281,8556621,Angelo De Donatis,eswiki,Human
Q536199,9344689,Angelo Moreschi,eswiki,Human
Q88963159,9358965,Angelo Rottoli,eswiki,Human
Q27662830,9494407,Ann Katharine Mitchell,eswiki,Human
Q90479494,9373654,Ann Sullivan,eswiki,Human
Q22337869,9292680,Anna Erra,eswiki,Human
Q3374,385622,Anne-Sophie Mutter,eswiki,Human
Q4769295,9432358,Annie Glenn,eswiki,Human
Q573246,7876537,Anthony Fauci,eswiki,Human
Q19968713,8651249,Antonino La Gumina,eswiki,Human
