QID,page id,item,wiki db,category
Q2818923,6246570,A. J. Pollock,frwiki,Human
Q303293,8837534,Aarón Padilla Gutiérrez,frwiki,Human
Q321770,6950096,Aaron Tveit,frwiki,Human
Q2821074,5967160,Abdelkader Amara,frwiki,Human
Q187058,806410,Abhishek Bachchan,frwiki,Human
Q4669126,13326259,Abraham Palatnik,frwiki,Human
Q87990699,13351460,Acacia Bandubola,frwiki,Human
Q9139694,8681312,Adam Jarubas,frwiki,Human
Q2824007,2429303,Adam Schlesinger,frwiki,Human
Q27102350,10223116,Adrien Ménielle,frwiki,Human
Q401433,3506239,Ahmed Radhi,frwiki,Human
Q88181154,13214212,Aileen Baviera,frwiki,Human
Q47059,37832,Aishwarya Rai,frwiki,Human
Q88788580,13243508,Alan Finder,frwiki,Human
Q2918270,13218323,Alan Merrill,frwiki,Human
Q3910,222471,Albert II (prince de Monaco),frwiki,Human
Q17266671,8305145,Alberto Cirio,frwiki,Human
Q371652,2492413,Albin Ekdal,frwiki,Human
Q11074974,7104138,Aleksandar Vulin,frwiki,Human
Q4717362,7225514,Alex Len,frwiki,Human
Q71763,7778622,Alexander Graf Lambsdorff,frwiki,Human
Q2834400,428377,Alexia Laroche-Joubert,frwiki,Human
Q4722019,8556000,Alfonso Cortina,frwiki,Human
Q439354,7151717,Ali Akbar Velayati,frwiki,Human
Q336363,1090809,Ali Larijani,frwiki,Human
Q720068,3410402,Allen Daviau,frwiki,Human
Q932204,2487438,Allen Garfield,frwiki,Human
Q25115075,10115601,Alpha Barry,frwiki,Human
Q4738985,13182783,Amabié,frwiki,Others
Q9570,222212,Amitabh Bachchan,frwiki,Human
Q433215,3026058,Ana Pastor Julián,frwiki,Human
Q2847343,2223849,André Bouchat,frwiki,Human
Q517765,9294,André Chassaigne,frwiki,Human
Q16263095,7065080,André Manaranche,frwiki,Human
Q42402,2000309,Andrea Bocelli,frwiki,Human
Q2014922,5666307,Andy Cohen,frwiki,Human
Q20971281,10247411,Angelo De Donatis,frwiki,Human
Q536199,13228208,Angelo Moreschi,frwiki,Human
Q88963159,13215243,Angelo Rottoli,frwiki,Human
Q16526911,12440151,Anna Ascani,frwiki,Human
Q2850947,847103,Anne-Élisabeth Blateau,frwiki,Human
Q3374,13983,Anne-Sophie Mutter,frwiki,Human
Q4769295,12684727,Annie Glenn,frwiki,Human
Q573246,6805936,Anthony Fauci,frwiki,Human
Q2854096,6425648,Antoine Joly,frwiki,Human
Q19968713,12363574,Antonino La Gumina,frwiki,Human
Q88094808,13242568,Antonio Michele Stanca,frwiki,Human
Q74579110,12887468,Antonio Salvá Verd,frwiki,Human
Q609891,3421947,Antti Törmänen,frwiki,Human
Q2863379,1345508,Arnold Sowinski,frwiki,Human
Q1133513,4371857,Aroldis Chapman,frwiki,Human
Q16647536,13244494,Arthur Whistler,frwiki,Human
Q2871670,988284,Augustin de Romanet,frwiki,Human
Q2871915,2785041,Aurlus Mabélé,frwiki,Human
Q20090644,9756486,Auston Matthews,frwiki,Human
Q4832169,13214106,Azam Khan,frwiki,Human
Q2701515,3654488,Bart Tommelein,frwiki,Human
Q466012,4735929,Bartosz Bereszyński,frwiki,Human
Q91621670,13475826,Belco Bah,frwiki,Human
Q4886138,12209238,Ben McAdams,frwiki,Human
Q2898818,318862,Bernard de La Villardière,frwiki,Human
Q89358641,13229098,Bernard Epin,frwiki,Human
Q56678261,13246574,Bernard Juskiewicz,frwiki,Human
Q48315912,11350585,Bernard Stalter,frwiki,Human
Q1921,1004521,Blaise Matuidi,frwiki,Human
Q89271759,13231698,Bob Glanzer,frwiki,Human
Q2268878,13271689,Bob Lazier,frwiki,Human
Q843822,6530061,Boglárka Kapás,frwiki,Human
Q125663,173986,Boris Akounine,frwiki,Human
Q180589,1818268,Boris Johnson,frwiki,Human
Q14905846,7388426,Borna Ćorić,frwiki,Human
Q89197302,13239675,Brett Crozier,frwiki,Human
Q382700,7357726,Brett Dean,frwiki,Human
Q3644511,10315034,Brian Stokes Mitchell,frwiki,Human
Q2926450,878129,Bruce Myers,frwiki,Human
Q30333326,10921420,Brune Poirson,frwiki,Human
Q1000366,13226308,Bucky Pizzarelli,frwiki,Human
Q19663167,10021014,Buddy Hield,frwiki,Human
Q93596977,13305545,Ça va bien aller (slogan),frwiki,Others
Q42396622,11201136,Callum Hudson-Odoi,frwiki,Human
Q318410,3433411,Cameron van der Burgh,frwiki,Human
Q74579105,12887454,Carlos Hugo Fernández-Roca Suárez,frwiki,Human
Q74579116,12887457,Carlos José Zambrano García-Raez,frwiki,Human
Q2614472,2678639,Carmen Calvo,frwiki,Human
Q12385390,10654583,Carmen Leyte,frwiki,Human
Q35281,734378,Carnaval de Bâle,frwiki,Others
Q35191,89778,Carnaval de Venise,frwiki,Others
Q30341815,10937067,Carole Bureau-Bonnard,frwiki,Human
Q2939877,4372884,Carole Dechantre,frwiki,Human
Q5753193,10744821,Carolina Darias,frwiki,Human
Q64732854,13235605,Carrie Symonds,frwiki,Human
Q96056565,13396244,Celine Fariala Mangaza,frwiki,Human
Q983320,5673551,Cesar Virata,frwiki,Human
Q63676927,13297885,Championnat de Finlande de hockey sur glace 2019-2020,frwiki,Others
Q2961093,13113835,Charlélie Couture,frwiki,Human
Q43274,13004669,Charles de Galles,frwiki,Human
Q78515,1379447,Charles de Habsbourg-Lorraine,frwiki,Human
Q2960824,5530856,Charlie Blackmon,frwiki,Human
Q55030082,12738351,Charlotte Lawrence,frwiki,Human
Q2964883,2843287,Chris Trousdale,frwiki,Human
Q749029,9512,Christian Estrosi,frwiki,Human
Q707984,1344039,Christian Jacob,frwiki,Human
Q20639748,9240736,Christian Wood,frwiki,Human
Q1086279,57435,Christophe (chanteur),frwiki,Human
Q89888640,13373394,Christophe Pras,frwiki,Human
Q445438,1119734,Christopher Cross,frwiki,Human
Q83493517,13148620,Chronologie de la pandémie de Covid-19,frwiki,Others
Q456623,3123031,Chuck Billy,frwiki,Human
Q18016181,13331892,Claude Beauchamp,frwiki,Human
Q2977352,2011179,Claude Evrard,frwiki,Human
