QID,page id,item,wiki db,category
Q1000366,5408166,Bucky Pizzarelli,itwiki,Human
Q10264359,8328793,Davi Alcolumbre,itwiki,Human
Q10304982,6199060,Jair Bolsonaro,itwiki,Human
Q10326942,8387786,Martinho Lutero Galati,itwiki,Human
Q1067412,272591,Lorenzo Sanz,itwiki,Human
Q107249,641290,Tony Shalhoub,itwiki,Human
Q1086279,2389176,Christophe (cantante),itwiki,Human
Q1093350,749180,Germano Celant,itwiki,Human
Q11074974,5698018,Aleksandar Vulin,itwiki,Human
Q1133513,6427629,Aroldis Chapman,itwiki,Human
Q11473366,8438196,Kumiko Okae,itwiki,Human
Q116650,458408,Hugo Gatti,itwiki,Human
Q11703587,7819974,Santiago Abascal,itwiki,Human
Q11774225,8389338,Daniel Křetínský,itwiki,Human
Q11885519,5819370,Omar Colley,itwiki,Human
Q1227076,1224492,Diosdado Cabello,itwiki,Human
Q1240726,1272517,Donato Sabia,itwiki,Human
Q125663,363621,Boris Akunin,itwiki,Human
Q1270426,1477645,Maximiliano Richeze,itwiki,Human
Q1295235,5007745,Edén Pastora,itwiki,Human
Q129816,3573732,Manolo Gabbiadini,itwiki,Human
Q13080157,7907877,Aung La Nsang,itwiki,Human
Q130853,50725,Plácido Domingo,itwiki,Human
Q1317442,3039471,Eric Bledsoe,itwiki,Human
Q1332769,132614,Nicola Zingaretti,itwiki,Human
Q1340521,8437314,Henri Weber,itwiki,Human
Q1349233,2127792,Thierry Dusautoir,itwiki,Human
Q13605936,4688897,James Ennis,itwiki,Human
Q1364820,830149,John H. Cox,itwiki,Human
Q1373340,3936611,Eugenio Scarpellini,itwiki,Human
Q1383590,8390709,Patrick Devedjian,itwiki,Human
Q1431761,6075575,Mike Kelly (politico statunitense),itwiki,Human
Q148225,2214329,Viktor Troicki,itwiki,Human
Q14905846,4684218,Borna Ćorić,itwiki,Human
Q1490861,4152402,Tony Boselli,itwiki,Human
Q15117583,4505440,Luca Lotti,itwiki,Human
Q1528752,2910427,Giuseppi Logan,itwiki,Human
Q15396247,4728384,José Luis Gayà,itwiki,Human
Q1545256,3887040,Gregorio Benito,itwiki,Human
Q154855,331060,Javier Solana,itwiki,Human
Q1566335,5417025,Terrence McNally,itwiki,Human
Q15731012,5193713,Marlon Moraes,itwiki,Human
Q15830919,4886469,Daniele Rugani,itwiki,Human
Q1585971,8514410,Haroldo Rodas,itwiki,Human
Q15987709,7511753,Jimmie Rivera,itwiki,Human
Q160009,538628,Pink (cantante),itwiki,Human
Q16226957,5029276,Spencer Dinwiddie,itwiki,Human
Q16235385,7626815,Joey Gallo,itwiki,Human
Q16236903,8361157,Austin Meadows,itwiki,Human
Q164730,1532352,Olga Kurylenko,itwiki,Human
Q16525220,4895267,Alessandro Tambellini,itwiki,Human
Q16526911,4505169,Anna Ascani,itwiki,Human
Q1655924,5432772,George Stephanopoulos,itwiki,Human
Q16574400,4602032,Luis Cessa,itwiki,Human
Q16581287,8209038,Jeanine Áñez,itwiki,Human
Q1660441,3114556,Metropolitana di Wuhan,itwiki,Others
Q166317,4006428,Paulo Dybala,itwiki,Human
Q16638763,5368151,Gaël Faye,itwiki,Human
Q16736403,6214855,Sturgill Simpson,itwiki,Human
Q1675472,7301182,Marco Solari (1944),itwiki,Human
Q16847056,8567553,Nick Cordero,itwiki,Human
Q16852194,5130552,Morten Thorsby,itwiki,Human
Q16865759,4960682,Enrico Comba,itwiki,Human
Q16889614,5845750,Fernando Gaviria,itwiki,Human
Q1691384,8481482,Joe Diffie,itwiki,Human
Q16929591,8587799,Tyler Glasnow,itwiki,Human
Q17032692,8449652,África Lorente Castillo,itwiki,Human
Q1710489,16444,Juan Giménez,itwiki,Human
Q17126490,8407546,Tullio Abbate,itwiki,Human
Q171530,1553200,Patrick Bruel,itwiki,Human
Q1725252,5017979,Karel Herbst,itwiki,Human
Q17266671,5038846,Alberto Cirio,itwiki,Human
Q17281073,5024984,Nikola Jokić,itwiki,Human
Q17305299,5977272,Frances Tiafoe,itwiki,Human
Q17306297,6463588,Yoan Moncada,itwiki,Human
Q17322473,8450524,Iris Love,itwiki,Human
Q173923,1777764,Ilija Petković,itwiki,Human
Q17465755,5990318,Malcolm Brogdon,itwiki,Human
Q1753869,8444279,Silas Silvius Njiru,itwiki,Human
Q1764061,3901547,Alexandra Wentworth,itwiki,Human
Q1771,3045090,Ehsan Hadadi,itwiki,Human
Q180589,1750748,Boris Johnson,itwiki,Human
Q1823140,3878356,Von Miller,itwiki,Human
Q18345498,6188199,Mirga Gražinytė-Tyla,itwiki,Human
Q18402123,7698137,Sajad Ganjzadeh,itwiki,Human
Q185572,1410097,Mikel Arteta,itwiki,Human
Q18685824,8572509,Ayatullah Durrani,itwiki,Human
Q1868688,4296026,Mark Blum,itwiki,Human
Q187058,1658585,Abhishek Bachchan,itwiki,Human
Q187198,127155,Kenny Dalglish,itwiki,Human
Q1872988,1572840,Zaccaria Cometti,itwiki,Human
Q1874119,3955379,Pierluigi Consonni,itwiki,Human
Q1921,1726265,Blaise Matuidi,itwiki,Human
Q19361829,5317040,Giovanni Battista Rabino,itwiki,Human
Q19376488,8350418,Joseph Zhu Baoyu,itwiki,Human
Q1937666,8451349,Ricardo Brennand,itwiki,Human
Q1945815,7208894,Quim Torra,itwiki,Human
Q19599015,6512549,Javier Jiménez (pallavolista 1989),itwiki,Human
Q196185,2160598,Russell Westbrook,itwiki,Human
Q19663167,5861889,Buddy Hield,itwiki,Human
Q19968713,5492007,Antonino La Gumina,itwiki,Human
Q20090644,6357393,Auston Matthews,itwiki,Human
Q2014922,3604697,Andy Cohen,itwiki,Human
Q201900,497257,Rüştü Reçber,itwiki,Human
Q2024999,6720350,Mads Mensah Larsen,itwiki,Human
Q204279,251296,Goran Ivanišević,itwiki,Human
Q205778,1711934,Pavel Pogrebnjak,itwiki,Human
Q20639748,5663727,Christian Wood,itwiki,Human
Q207399,1595216,Marko Pantelić,itwiki,Human
Q2083681,1482086,Esperanza Aguirre,itwiki,Human
Q20971281,5592929,Angelo De Donatis,itwiki,Human
Q21063926,5990314,Taurean Prince,itwiki,Human
Q211691,2947623,Suk Hyun-jun,itwiki,Human
Q2120884,8141559,Yaakov Litzman,itwiki,Human
Q213616,1701107,Thomas Kahlenberg,itwiki,Human
Q21706297,7623871,Irene Montero,itwiki,Human
Q217238,1434754,Jimmie Johnson,itwiki,Human
Q21833015,5756918,Gaetano Rebecchini,itwiki,Human
Q21888028,7964813,Dmitrij Strachov,itwiki,Human
Q222851,4095376,Harrison Barnes,itwiki,Human
Q2263,28508,Tom Hanks,itwiki,Human
Q22921036,8423953,Sergio Rossi (designer),itwiki,Human
Q23014942,5944623,Salvatore Farina (generale),itwiki,Human
Q230445,1628102,Sara Bareilles,itwiki,Human
Q2317740,2130373,Jason Collins,itwiki,Human
