QID,page id,item,wiki db,category,Unnamed: 5
Q88027839,4186017,2019年コロナウイルス感染症で亡くなった著名人の一覧,jawiki,Others,False
Q87589400,4121404,2019年コロナウイルス感染症によるスポーツへの影響,jawiki,Others,False
Q85872065,4092310,2019年コロナウイルス感染症による社会・経済的影響,jawiki,Others,False
Q85872042,4112047,2019年コロナウイルス感染症に関連する人物・事項索引,jawiki,Others,False
Q87866152,4111477,2019年コロナウイルス感染症流行による外出制限・封鎖,jawiki,Others,False
Q85173778,4117027,2019年コロナウイルス感染症流行に関連する誤情報,jawiki,Others,False
Q87629158,4098273,2020年の株価大暴落,jawiki,Others,False
Q91082844,4118939,3つの密,jawiki,Others,False
Q2818923,2651091,A.J.ポロック,jawiki,Human,False
Q86901049,4112771,COVID-19の検査,jawiki,Others,False
Q536308,2990741,D・L・ヒューリー,jawiki,Human,False
Q3011059,2999758,DJ・ルメイユ,jawiki,Human,False
Q34660,5693,J・K・ローリング,jawiki,Human,False
Q96210090,4154935,MLSイズ・バック・トーナメント,jawiki,Others,False
Q11242181,1011986,Ryoji,jawiki,Human,False
Q82069695,4068408,SARSコロナウイルス2,jawiki,Others,False
Q278567,4084884,SARS関連コロナウイルス,jawiki,Others,False
Q90397081,4120664,TraceTogether,jawiki,Others,False
Q401433,1118675,アーメド・ラディ,jawiki,Human,False
Q321770,2697534,アーロン・トヴェイト,jawiki,Human,False
Q47059,498439,アイシュワリヤー・ラーイ,jawiki,Human,False
Q88181154,4132891,アイリーン・ビエラ,jawiki,Human,False
Q86521237,4094501,アジアにおける2019年コロナウイルス感染症の流行状況,jawiki,Region,False
Q433215,3802964,アナ・パストール・フリアン,jawiki,Human,False
Q187058,1112059,アビシェーク・バッチャン,jawiki,Human,False
Q86694873,4105180,アフリカにおける2019年コロナウイルス感染症の流行状況,jawiki,Region,False
Q4738985,857246,アマビエ,jawiki,Others,False
Q9570,944133,アミターブ・バッチャン,jawiki,Human,False
Q83873577,4093033,アメリカ合衆国における2019年コロナウイルス感染症の流行状況,jawiki,Region,False
Q2918270,1750417,アラン・メリル,jawiki,Human,False
Q336363,2670820,アリー・ラーリージャーニー,jawiki,Human,False
Q439354,2701530,アリーアクバル・ヴェラーヤティー,jawiki,Human,False
Q371652,1599298,アルビン・エクダル,jawiki,Human,False
Q3910,233461,アルベール2世 (モナコ公),jawiki,Human,False
Q4128446,1865044,アレクサンドル・ヴスティン,jawiki,Human,False
Q4717362,3151583,アレックス・レン,jawiki,Human,False
Q932204,3278079,アレン・ガーフィールド,jawiki,Human,False
Q720068,1224922,アレン・ダヴィオー,jawiki,Human,False
Q1133513,1167746,アロルディス・チャップマン,jawiki,Human,False
Q90479494,4121305,アン・サリヴァン (アニメーター),jawiki,Human,False
Q573246,4107469,アンソニー・ファウチ,jawiki,Human,False
Q19968713,4096043,アントニーノ・ラ・グミーナ,jawiki,Human,False
Q42402,531414,アンドレア・ボチェッリ,jawiki,Human,False
Q3374,315821,アンネ＝ゾフィー・ムター,jawiki,Human,False
Q281708,2855013,イェンス・クークレール,jawiki,Human,False
Q84167106,4105453,イギリスにおける2019年コロナウイルス感染症の流行状況,jawiki,Region,False
Q50634772,4100034,イサベル・ディアス・アジュソ,jawiki,Human,False
Q84104992,4093053,イタリアにおける2019年コロナウイルス感染症の流行状況,jawiki,Region,False
Q342604,2163558,イドリス・エルバ,jawiki,Human,False
Q85876114,4085041,イランにおける2019年コロナウイルス感染症の流行状況,jawiki,Region,False
Q463585,3190408,インディラ・ヴァルマ,jawiki,Human,False
Q116650,1702502,ウーゴ・ガッティ,jawiki,Human,False
Q465989,3741031,ヴァレリー・ボワイエ,jawiki,Human,False
Q18613182,3596024,ヴィアネ,jawiki,Human,False
Q679049,4098985,ヴィットリオ・グレゴッティ,jawiki,Human,False
Q70278592,4115905,ウィリアム・B・ヘルムライク,jawiki,Human,False
Q55314883,3844893,ウィリアンズ・アストゥディーヨ,jawiki,Human,False
Q3568303,2663850,ウィル・スミス (投手),jawiki,Human,False
Q92743,705944,ヴィントン・サーフ,jawiki,Human,False
Q35191,2309283,ヴェネツィア・カーニバル,jawiki,Others,False
Q343378,4112544,ウォレス・ルーニー,jawiki,Human,False
Q2083681,3197085,エスペランサ・アギーレ,jawiki,Human,False
Q296684,1406936,エセキエル・ガライ,jawiki,Human,False
Q1295235,1227784,エデン・パストラ,jawiki,Human,False
Q1771,2620730,エフサン・ハダディ,jawiki,Human,False
Q579231,2466454,エリアカン・マンガラ,jawiki,Human,False
Q1317442,3154264,エリック・ブレッドソー,jawiki,Human,False
Q16236903,3555398,オースティン・メドウズ,jawiki,Human,False
Q24248306,4109011,オーランド・マクダニエル,jawiki,Human,False
Q86694210,4108343,オセアニアにおける2019年コロナウイルス感染症の流行状況,jawiki,Region,False
Q11885519,3840338,オマー・コリー,jawiki,Human,False
Q164730,862579,オルガ・キュリレンコ,jawiki,Human,False
Q78515,1598644,カール・ハプスブルク＝ロートリンゲン,jawiki,Human,False
Q318991,1025502,ガッド・エルマレ,jawiki,Human,False
Q42396622,3826353,カラム・ハドソン＝オドイ,jawiki,Human,False
Q2614472,3822289,カルメン・カルボ,jawiki,Human,False
Q1945815,3793656,キム・トーラ,jawiki,Human,False
Q318410,2615735,キャメロン・ファンデルバーグ,jawiki,Human,False
Q5560829,4146758,ギルバート・バーンズ,jawiki,Human,False
Q337681,2500081,グリゴール・ディミトロフ,jawiki,Human,False
Q5112179,1717105,クリス・クオモ,jawiki,Human,False
Q20639748,3455633,クリスチャン・ウッド,jawiki,Human,False
Q749029,2365819,クリスチャン・エストロジ,jawiki,Human,False
Q3002872,2587988,クリスティーナ (歌手),jawiki,Human,False
Q445438,159543,クリストファー・クロス,jawiki,Human,False
Q6438398,4105124,クリストファー・ヒヴュ,jawiki,Human,False
Q84590527,4089496,クルーズ客船における2019年コロナウイルス感染症の流行状況,jawiki,Region,False
Q16234113,2983141,グレゴリー・ポランコ,jawiki,Human,False
Q1545256,1735541,グレゴリオ・ベニト,jawiki,Human,False
Q187198,757184,ケニー・ダルグリッシュ,jawiki,Human,False
Q923090,387913,ケビン・サンダーソン,jawiki,Human,False
Q29545,1141404,ケビン・デュラント,jawiki,Human,False
Q204279,63971,ゴラン・イワニセビッチ,jawiki,Human,False
Q11303670,207469,ゴリけん,jawiki,Human,False
Q18975243,4112457,コロナウイルス感染症,jawiki,Others,False
Q88029483,4101233,コロナちゃん,jawiki,Others,False
Q959755,2886567,サウス・バイ・サウスウエスト,jawiki,Others,False
Q230445,1661590,サラ・バレリス,jawiki,Human,False
Q3470332,2437545,サルバドール・ペレス,jawiki,Human,False
Q11703587,3843037,サンティアゴ・アバスカル,jawiki,Human,False
Q13605936,3699706,ジェームズ・エニス,jawiki,Human,False
Q6166387,2142781,ジェイ・ベネディクト,jawiki,Human,False
Q2317740,625571,ジェイソン・コリンズ,jawiki,Human,False
Q690395,4104862,ジェルマ・コロン,jawiki,Human,False
Q217238,816988,ジミー・ジョンソン (ドライバー),jawiki,Human,False
Q15987709,3360454,ジミー・リベラ,jawiki,Human,False
Q717045,646842,ジム・エドモンズ,jawiki,Human,False
Q55030082,4140173,シャーロット・ローレンス,jawiki,Human,False
Q10304982,3536278,ジャイール・ボルソナーロ,jawiki,Human,False
Q355009,199486,ジャクソン・ブラウン,jawiki,Human,False
Q6110020,3132152,ジャバリ・パーカー,jawiki,Human,False
Q2029605,4161054,ジャメル・ヘリング,jawiki,Human,False
Q16235385,3286289,ジョーイ・ギャロ (野球),jawiki,Human,False
Q845156,686949,ジョージ・アレガイアー,jawiki,Human,False
Q1655924,379255,ジョージ・ステファノプロス,jawiki,Human,False
Q95677819,4158619,ジョージ・フロイド (白人警官に殺された黒人男性),jawiki,Human,False
Q740411,2310845,ジョアキム・ヨンビ＝オパンゴ,jawiki,Human,False
Q57567,2318927,ジョエル・マティプ,jawiki,Human,False
Q64827839,4107574,ジョシュ・テイラー (野球),jawiki,Human,False
Q2689047,3716789,ジョナタス・クリスチャン・ジ・ジェズス,jawiki,Human,False
Q540283,3448305,ジョン・テイラー (ベーシスト),jawiki,Human,False
Q268961,1061151,ジョン・ホートン・コンウェイ,jawiki,Human,False
Q3084441,400855,スティーヴ・ダルコウスキー,jawiki,Human,False
Q84166704,4093034,スペインにおける2019年コロナウイルス感染症の流行状況,jawiki,Region,False
Q16226957,3231083,スペンサー・ディンウィディー,jawiki,Human,False
