QID,page id,item,wiki db,category,Unnamed: 5
Q87629158,2661526,2020년 주가 대폭락,kowiki,Others,False
Q2818923,2598880,A.J. 폴록,kowiki,Human,False
Q536308,2782939,D.L. 하이리,kowiki,Human,False
Q3011059,2604573,DJ 르메이휴,kowiki,Human,False
Q34660,73693,J. K. 롤링,kowiki,Human,False
Q753852,2454975,USS 시어도어 루스벨트 (CVN-71),kowiki,Others,False
Q89490207,2679320,USS 시어도어 루스벨트의 코로나19 범유행,kowiki,Region,False
Q87666247,2672654,가나의 코로나19 범유행,kowiki,Region,False
Q982113,1393916,가나자키 무,kowiki,Human,False
Q318991,838890,가드 엘마레,kowiki,Human,False
Q87666042,2673376,가봉의 코로나19 범유행,kowiki,Region,False
Q87659698,2676809,가이아나의 코로나19 범유행,kowiki,Region,False
Q87899016,2673980,감비아의 코로나19 범유행,kowiki,Region,False
Q204279,320068,고란 이바니셰비치,kowiki,Human,False
Q87669612,2684249,과테말라의 코로나19 범유행,kowiki,Region,False
Q16234113,1290604,그레고리 폴랑코,kowiki,Human,False
Q359010,1086097,그레그 리카트,kowiki,Human,False
Q88713785,2707712,그레나다의 코로나19 범유행,kowiki,Region,False
Q337681,1094697,그리고르 디미트로프,kowiki,Human,False
Q87068864,2655306,그리스의 코로나19 범유행,kowiki,Region,False
Q88617000,2671945,기니비사우의 코로나19 범유행,kowiki,Region,False
Q87651970,2680317,기니의 코로나19 범유행,kowiki,Region,False
Q83741704,2631122,나라별 코로나19 범유행,kowiki,Others,False
Q87729501,2675521,나미비아의 코로나19 범유행,kowiki,Region,False
Q6782695,232463,나시다 마사타카,kowiki,Human,False
Q87718451,2672396,나이지리아의 코로나19 범유행,kowiki,Region,False
Q89560617,2680364,남수단의 코로나19 범유행,kowiki,Region,False
Q86694744,2665316,남아메리카의 코로나19 범유행,kowiki,Region,False
Q87243915,2672369,남아프리카 공화국의 코로나19 범유행,kowiki,Region,False
Q86756826,2653806,네덜란드의 코로나19 범유행,kowiki,Region,False
Q83873573,2680309,네팔의 코로나19 범유행,kowiki,Region,False
Q86886544,2652892,노르웨이의 코로나19 범유행,kowiki,Region,False
Q5812,320994,노바크 조코비치,kowiki,Human,False
Q87648388,2674962,누벨칼레도니의 코로나19 범유행,kowiki,Region,False
Q87250803,2670441,뉴질랜드의 코로나19 범유행,kowiki,Region,False
Q88082809,2689602,니제르의 코로나19 범유행,kowiki,Region,False
Q87976701,2711840,니카라과의 코로나19 범유행,kowiki,Region,False
Q1332769,2561061,니콜라 칭가레티,kowiki,Human,False
Q15830919,1140618,다니엘레 루가니,kowiki,Human,False
Q2633169,1393321,다시마 고조,kowiki,Human,False
Q86745927,2683313,다이아몬드 프린세스의 코로나19 범유행,kowiki,Region,False
Q97616,2797472,단 반 후센,kowiki,Human,False
Q299700,80520,대니얼 대 김,kowiki,Human,False
Q83872398,2647293,대한민국의 코로나19 범유행,kowiki,Region,False
Q238671,828202,데비 메이저,kowiki,Human,False
Q310098,795864,데이비드 브라이언,kowiki,Human,False
Q422252,1763920,덱사메타존,kowiki,Others,False
Q86597685,2655728,덴마크의 코로나19 범유행,kowiki,Region,False
Q5296298,1283157,도나 에어,kowiki,Human,False
Q87563855,2686519,도미니카 공화국의 코로나19 범유행,kowiki,Region,False
Q88356648,2689432,도미니카 연방의 코로나19 범유행,kowiki,Region,False
Q83889294,2652556,독일의 코로나19 범유행,kowiki,Region,False
Q87836826,2671941,동티모르의 코로나19 범유행,kowiki,Region,False
Q21888028,2661797,드미트리 스트라호프,kowiki,Human,False
Q989330,1814167,디즈니 선,kowiki,Others,False
Q4140539,1392098,딜라이노 디실즈 주니어,kowiki,Human,False
Q88521330,2690464,라오스의 코로나19 범유행,kowiki,Region,False
Q87766242,2672728,라이베리아의 코로나19 범유행,kowiki,Region,False
Q87066621,2696608,라트비아의 코로나19 범유행,kowiki,Region,False
Q463557,964614,랜드 폴,kowiki,Human,False
Q196185,897039,러셀 웨스트브룩,kowiki,Human,False
Q84098939,2665340,러시아의 코로나19 범유행,kowiki,Region,False
Q87245450,2683505,레바논의 코로나19 범유행,kowiki,Region,False
Q91024607,2732358,레소토의 코로나19 범유행,kowiki,Region,False
Q87162010,2675506,레위니옹의 코로나19 범유행,kowiki,Region,False
Q83766264,2639260,레이선산 의원,kowiki,Others,False
Q271765,2779224,로라 벨 번디,kowiki,Human,False
Q1067412,2668845,로렌소 산스,kowiki,Human,False
Q87250752,2683014,루마니아의 코로나19 범유행,kowiki,Region,False
Q16574400,2636700,루이스 세사,kowiki,Human,False
Q334126,630691,루이스 세풀베다,kowiki,Human,False
Q267724,2553366,루차 보세,kowiki,Human,False
Q87250860,2692805,룩셈부르크의 코로나19 범유행,kowiki,Region,False
Q3446792,1245551,뤼디 고베르,kowiki,Human,False
Q201900,722045,뤼쉬튀 레츠베르,kowiki,Human,False
Q87714704,2675484,르완다의 코로나19 범유행,kowiki,Region,False
Q453393,2561655,리 코니츠,kowiki,Human,False
Q88568089,2671939,리비아의 코로나19 범유행,kowiki,Region,False
Q84497471,2639627,리원량,kowiki,Human,False
Q234144,817181,리타 윌슨,kowiki,Human,False
Q87250838,2695507,리투아니아의 코로나19 범유행,kowiki,Region,False
Q87250819,2700181,리히텐슈타인의 코로나19 범유행,kowiki,Region,False
Q129816,929314,마놀로 가비아디니,kowiki,Human,False
Q445829,2021170,마뉘 디방고,kowiki,Human,False
Q88225303,2692121,마다가스카르의 코로나19 범유행,kowiki,Region,False
Q275169,291876,마루안 펠라이니,kowiki,Human,False
Q207399,1429484,마르코 판텔리치,kowiki,Human,False
Q1892733,2661192,마르크 메자르,kowiki,Human,False
Q29230,236500,마르티 아티사리,kowiki,Human,False
Q48280,349336,마리안느 페이스풀,kowiki,Human,False
Q296724,669225,마무드 지브릴,kowiki,Human,False
Q352696,829511,마이클 비즐리,kowiki,Human,False
Q64569137,2661730,마카레나 올로나 초클란,kowiki,Human,False
Q85872060,2652499,마카오의 코로나19 범유행,kowiki,Region,False
Q1868688,2671403,마크 블럼,kowiki,Human,False
Q89285378,2690488,말라위의 코로나19 범유행,kowiki,Region,False
Q83873556,2652510,말레이시아의 코로나19 범유행,kowiki,Region,False
Q88556836,2673342,말리의 코로나19 범유행,kowiki,Region,False
Q86628344,2672645,멕시코의 코로나19 범유행,kowiki,Region,False
Q87250877,2712772,모나코의 코로나19 범유행,kowiki,Region,False
Q87058723,2673389,모로코의 코로나19 범유행,kowiki,Region,False
Q87979033,2693261,모리셔스의 코로나19 범유행,kowiki,Region,False
Q87709900,2674267,모리타니의 코로나19 범유행,kowiki,Region,False
Q795924,884855,모바일 월드 콩그레스,kowiki,Others,False
Q88335426,2685652,모잠비크의 코로나19 범유행,kowiki,Region,False
Q16052285,2667717,모함마드 미르모함마디,kowiki,Human,False
Q87887813,2752628,몬테네그로의 코로나19 범유행,kowiki,Region,False
Q87592982,2693384,몰도바의 코로나19 범유행,kowiki,Region,False
Q87662895,2685747,몰디브의 코로나19 범유행,kowiki,Region,False
Q87587760,2705584,몰타의 코로나19 범유행,kowiki,Region,False
Q87708832,2667715,몽골의 코로나19 범유행,kowiki,Region,False
Q83873577,2649674,미국의 코로나19 범유행,kowiki,Region,False
Q2917346,2796866,미셸 부제나,kowiki,Human,False
Q88460663,2678164,미얀마의 코로나19 범유행,kowiki,Region,False
Q691911,667942,미첼 랭가랙,kowiki,Human,False
Q185572,290558,미켈 아르테타,kowiki,Human,False
Q4298520,2625875,미하일 미슈스틴,kowiki,Human,False
Q87070999,2695214,바레인의 코로나19 범유행,kowiki,Region,False
Q466012,2496462,바르토시 베레신스키,kowiki,Human,False
Q87902902,2738090,바베이도스의 코로나19 범유행,kowiki,Region,False
Q87222526,2678626,바티칸 시국의 코로나19 범유행,kowiki,Region,False
Q87755488,2677474,바하마의 코로나19 범유행,kowiki,Region,False
Q87540454,2676959,방글라데시의 코로나19 범유행,kowiki,Region,False
Q88082556,2672051,버뮤다의 코로나19 범유행,kowiki,Region,False
Q87781572,2680341,베냉의 코로나19 범유행,kowiki,Region,False
Q87652010,2674744,베네수엘라의 코로나19 범유행,kowiki,Region,False
Q35191,579131,베네치아 사육제,kowiki,Others,False
Q344983,356679,베이비페이스,kowiki,Human,False
Q83873057,2652515,베트남의 코로나19 범유행,kowiki,Region,False
Q84446340,2655297,벨기에의 코로나19 범유행,kowiki,Region,False
Q87250788,2681762,벨라루스의 코로나19 범유행,kowiki,Region,False
Q88561418,2672703,벨리즈의 코로나19 범유행,kowiki,Region,False
Q180589,816008,보리스 존슨,kowiki,Human,False
Q87250770,2698140,보스니아 헤르체고비나의 코로나19 범유행,kowiki,Region,False
Q89164046,2678385,보츠와나의 코로나19 범유행,kowiki,Region,False
Q87480220,2675049,볼리비아의 코로나19 범유행,kowiki,Region,False
Q983324,2011320,봉봉 마르코스,kowiki,Human,False
Q89193856,2674263,부룬디의 코로나19 범유행,kowiki,Region,False
Q87665364,2678666,부르키나파소의 코로나19 범유행,kowiki,Region,False
Q87715166,2692182,부탄의 코로나19 범유행,kowiki,Region,False
Q87816426,2674261,북마리아나 제도의 코로나19 범유행,kowiki,Region,False
Q87250897,2695954,북마케도니아의 코로나19 범유행,kowiki,Region,False
Q86695115,2665309,북아메리카의 코로나19 범유행,kowiki,Region,False
Q87743173,2780578,북키프로스의 코로나19 범유행,kowiki,Region,False
Q87486535,2669364,불가리아의 코로나19 범유행,kowiki,Region,False
Q86597695,2657284,브라질의 코로나19 범유행,kowiki,Region,False
Q382700,2661161,브렛 딘,kowiki,Human,False
Q89197302,2678407,브렛 크로지어,kowiki,Human,False
Q87412028,2683370,브루나이의 코로나19 범유행,kowiki,Region,False
Q4974402,1350005,브룩 볼드윈,kowiki,Human,False
Q1921,742920,블레즈 마튀디,kowiki,Human,False
Q679049,2667718,비토리오 그레고티,kowiki,Human,False
Q148225,221309,빅토르 트로이츠키,kowiki,Human,False
Q92743,76442,빈트 서프,kowiki,Human,False
Q87186117,2672861,사우디아라비아의 코로나19 범유행,kowiki,Region,False
Q959755,758561,사우스 바이 사우스웨스트,kowiki,Others,False
Q558820,960730,사카이 고토쿠,kowiki,Human,False
Q87123561,2655313,산마리노의 코로나19 범유행,kowiki,Region,False
Q11703587,2581181,산티아고 아바스칼,kowiki,Human,False
Q3470332,1255446,살바도르 페레스,kowiki,Human,False
Q23014942,2660636,살바토레 파리나 (군인),kowiki,Human,False
Q89598747,2684806,상투메 프린시페의 코로나19 범유행,kowiki,Region,False
Q87144431,2672080,생마르탱의 코로나19 범유행,kowiki,Region,False
Q91095151,2684279,샤를 드 골의 코로나19 범유행,kowiki,Region,False
Q55030082,2041138,샬럿 로렌스,kowiki,Human,False
Q211691,507875,석현준,kowiki,Human,False
Q87745903,2681801,세네갈의 코로나19 범유행,kowiki,Region,False
Q230445,1011379,세라 바렐리스,kowiki,Human,False
Q87193778,2680936,세르비아의 코로나19 범유행,kowiki,Region,False
Q983320,846053,세사르 비라타,kowiki,Human,False
Q87729500,2697580,세이셸의 코로나19 범유행,kowiki,Region,False
Q87707727,2672712,세인트루시아의 코로나19 범유행,kowiki,Region,False
Q87687648,2671931,세인트빈센트 그레나딘의 코로나19 범유행,kowiki,Region,False
Q88864139,2671944,세인트키츠 네비스의 코로나19 범유행,kowiki,Region,False
Q87770645,2672721,소말리아의 코로나19 범유행,kowiki,Region,False
Q89413165,2676412,소말릴란드의 코로나19 범유행,kowiki,Region,False
Q3788185,2661773,소피 그레구아르 트뤼도,kowiki,Human,False
Q94249876,2766332,쇼부시 간지,kowiki,Human,False
Q87657486,2678172,수단의 코로나19 범유행,kowiki,Region,False
Q87664046,2674191,수리남의 코로나19 범유행,kowiki,Region,False
Q83889114,2681655,스리랑카의 코로나19 범유행,kowiki,Region,False
Q84081576,2653799,스웨덴의 코로나19 범유행,kowiki,Region,False
Q86717788,2652877,스위스의 코로나19 범유행,kowiki,Region,False
Q708158,913038,스카페이스 (래퍼),kowiki,Human,False
Q16736403,1666071,스터질 심프슨,kowiki,Human,False
Q3084441,1666119,스티브 댈코우스키,kowiki,Human,False
Q84166704,2652560,스페인의 코로나19 범유행,kowiki,Region,False
Q87200954,2693249,슬로바키아의 코로나19 범유행,kowiki,Region,False
Q87250948,2665328,슬로베니아의 코로나19 범유행,kowiki,Region,False
Q512592,944838,슬림 서그,kowiki,Human,False
Q87814953,2685318,시리아의 코로나19 범유행,kowiki,Region,False
Q1320080,801886,시무라 켄,kowiki,Human,False
Q89127366,2674154,시에라리온의 코로나19 범유행,kowiki,Region,False
Q93315673,2786314,신장 위구르 자치구의 코로나19 범유행,kowiki,Region,False
Q88082922,2672083,신트마르턴의 코로나19 범유행,kowiki,Region,False
Q83873387,2648851,싱가포르의 코로나19 범유행,kowiki,Region,False
Q84030045,2652882,아랍에미리트의 코로나19 범유행,kowiki,Region,False
Q87708719,2700166,아루바의 코로나19 범유행,kowiki,Region,False
Q87648634,2695416,아르메니아의 코로나19 범유행,kowiki,Region,False
Q87235137,2673264,아르헨티나의 코로나19 범유행,kowiki,Region,False
Q9570,607590,아미타브 바찬,kowiki,Human,False
Q187058,793482,아비셱 바찬,kowiki,Human,False
Q86521237,2651542,아시아의 코로나19 범유행,kowiki,Region,False
Q47059,793479,아이슈와라 라이,kowiki,Human,False
Q87121993,2655304,아이슬란드의 코로나19 범유행,kowiki,Region,False
Q88082693,2691600,아이티의 코로나19 범유행,kowiki,Region,False
Q87186365,2655756,아일랜드의 코로나19 범유행,kowiki,Region,False
Q87722485,2677912,아제르바이잔의 코로나19 범유행,kowiki,Region,False
Q88082409,2672064,아크로티리 데켈리아의 코로나19 범유행,kowiki,Region,False
