QID,page id,item,wiki db,category
Q1000366,2840889,Bucky Pizzarelli,ptwiki,Human
Q10263911,59626,Daniel Azulay,ptwiki,Human
Q10264359,6249156,Davi Alcolumbre,ptwiki,Human
Q10278404,528494,Evaldo Gouveia,ptwiki,Human
Q10289133,2994835,Gerardo Juraci Campelo Leite,ptwiki,Human
Q10304982,595942,Jair Bolsonaro,ptwiki,Human
Q10310270,321568,José Paulo de Andrade,ptwiki,Human
Q10326164,1563740,Maria de Sousa,ptwiki,Human
Q10326942,3361900,Martinho Lutero Galati,ptwiki,Human
Q10336123,1021676,Nelson Trad Filho,ptwiki,Human
Q10336785,200092,Nicolau dos Santos Neto,ptwiki,Human
Q10340557,386128,Olga Savary,ptwiki,Human
Q10359396,2338260,Renato de Jesus,ptwiki,Human
Q10363497,2986064,Robson Braga de Andrade,ptwiki,Human
Q10393782,494472,Wilson Braga,ptwiki,Human
Q1067412,6223834,Lorenzo Sanz,ptwiki,Human
Q107249,442561,Tony Shalhoub,ptwiki,Human
Q1086279,1497533,Christophe,ptwiki,Human
Q1093350,6257657,Germano Celant,ptwiki,Human
Q116650,2852808,Hugo Gatti,ptwiki,Human
Q11703587,5882841,Santiago Abascal,ptwiki,Human
Q1193243,3274179,John Houghton,ptwiki,Human
Q11954665,6276591,Vicenç Capdevila,ptwiki,Human
Q12022755,6285250,Jan Křen,ptwiki,Human
Q1227076,3935717,Diosdado Cabello,ptwiki,Human
Q1240022,6253947,Donald Kennedy,ptwiki,Human
Q1240726,6238856,Donato Sabia,ptwiki,Human
Q1270426,2049800,Maximiliano Richeze,ptwiki,Human
Q1295235,4377079,Edén Pastora,ptwiki,Human
Q129816,5009005,Manolo Gabbiadini,ptwiki,Human
Q130853,51572,Plácido Domingo,ptwiki,Human
Q1317442,5185660,Eric Bledsoe,ptwiki,Human
Q1320080,1837031,Ken Shimura,ptwiki,Human
Q1349233,3385855,Thierry Dusautoir,ptwiki,Human
Q13605936,5360773,James Ennis,ptwiki,Human
Q1363756,6229911,Paul Goma,ptwiki,Human
Q13787544,6320564,Carlos Carrizosa,ptwiki,Human
Q1383590,6232130,Patrick Devedjian,ptwiki,Human
Q1438821,1575767,Richard Quest,ptwiki,Human
Q148225,2298059,Viktor Troicki,ptwiki,Human
Q14905846,4620465,Borna Coric,ptwiki,Human
Q15396247,4796538,José Luis Gayà,ptwiki,Human
Q1545256,6234547,Goyo Benito,ptwiki,Human
Q154855,1153146,Javier Solana,ptwiki,Human
Q1566335,6247419,Terrence McNally,ptwiki,Human
Q15731012,4310123,Marlon Moraes,ptwiki,Human
Q15830919,5364342,Daniele Rugani,ptwiki,Human
Q15987709,4808140,Jimmie Rivera,ptwiki,Human
Q160009,415871,Pink,ptwiki,Human
Q16105298,6241482,Roger Chappot,ptwiki,Human
Q16226957,5151533,Spencer Dinwiddie,ptwiki,Human
Q16337378,4347479,Dulce Nunes,ptwiki,Human
Q16337792,4269887,Lúcia Braga,ptwiki,Human
Q164730,1775203,Olga Kurylenko,ptwiki,Human
Q1655924,5967978,George Stephanopoulos,ptwiki,Human
Q16581287,6124051,Jeanine Áñez,ptwiki,Human
Q1660441,2187637,Metropolitano de Wuhan,ptwiki,Others
Q166317,3673834,Paulo Dybala,ptwiki,Human
Q16672105,6282653,Vladimir Lopukhin,ptwiki,Human
Q16701731,6270559,Roy Horn,ptwiki,Human
Q16736403,6014637,Sturgill Simpson,ptwiki,Human
Q16841387,5311062,Jedediah Bila,ptwiki,Human
Q16847056,6318101,Nick Cordero,ptwiki,Human
Q16885630,6211755,Hossein Sheikholeslam,ptwiki,Human
Q16889614,4809539,Fernando Gaviria,ptwiki,Human
Q1691384,4835468,Joe Diffie,ptwiki,Human
Q16940061,3990996,Dinaldo Wanderley,ptwiki,Human
Q16940336,4393903,Nelson Meurer,ptwiki,Human
Q16940411,2733237,José Itamar de Freitas,ptwiki,Human
Q1710489,402076,Juan Giménez,ptwiki,Human
Q171530,2190232,Patrick Bruel,ptwiki,Human
Q17266671,6213373,Alberto Cirio,ptwiki,Human
Q17281073,5153327,Nikola Jokić,ptwiki,Human
Q17305299,4845567,Frances Tiafoe,ptwiki,Human
Q17305968,5074482,Henry Graff,ptwiki,Human
Q173923,427165,Ilija Petković,ptwiki,Human
Q17465755,5303612,Malcolm Brogdon,ptwiki,Human
Q17486036,6258666,Henri Kichka,ptwiki,Human
Q1771,2915906,Ehsan Hadadi,ptwiki,Human
Q1789955,1864115,Carlos Lessa,ptwiki,Human
Q18057030,6250431,Bennie Adkins,ptwiki,Human
Q180589,1717535,Boris Johnson,ptwiki,Human
Q18129450,4884397,Daniel Yuste,ptwiki,Human
Q1823140,5923538,Von Miller,ptwiki,Human
Q185572,974729,Mikel Arteta,ptwiki,Human
Q1868688,6227783,Mark Blum,ptwiki,Human
Q187198,1248078,Kenny Dalglish,ptwiki,Human
Q1892733,4628424,Marc Mézard,ptwiki,Human
Q18975243,6206520,Doença por coronavírus,ptwiki,Others
Q1921,2971763,Blaise Matuidi,ptwiki,Human
Q19361829,6217096,Giovanni Battista Rabino,ptwiki,Human
Q1937666,2068812,Ricardo Brennand,ptwiki,Human
Q1945815,5726890,Quim Torra,ptwiki,Human
Q19599015,5234880,Javier Ernesto Jiménez,ptwiki,Human
Q19611679,6246017,Yusuf Kenan Sönmez,ptwiki,Human
Q196185,2905165,Russell Westbrook,ptwiki,Human
Q19635577,6267474,Dimitris Kremastinos,ptwiki,Human
Q19663167,5301103,Buddy Hield,ptwiki,Human
Q19974584,6247008,Lukman Niode,ptwiki,Human
Q2014922,6237500,Andy Cohen,ptwiki,Human
Q201900,616184,Rüştü Reçber,ptwiki,Human
