QID,page id,item,wiki db,category,Unnamed: 5
Q84263196,8193083,COVID-19,ruwiki,Others,False
Q795924,2319239,Mobile World Congress,ruwiki,Others,False
Q82069695,8203065,SARS-CoV-2,ruwiki,Others,False
Q512592,6083079,Slim Thug,ruwiki,Human,False
Q959755,6261133,South by Southwest,ruwiki,Others,False
Q753852,1383526,USS Theodore Roosevelt (CVN-71),ruwiki,Others,False
Q56276347,7780042,YNW Melly,ruwiki,Human,False
Q11703587,8096549,"Абаскаль, Сантьяго",ruwiki,Human,False
Q2083681,7387180,"Агирре, Эсперанса",ruwiki,Human,False
Q437950,5359383,"Адамс, Катрина",ruwiki,Human,False
Q21515658,8259567,"Айвазян, Эдман",ruwiki,Human,False
Q4588104,4380933,Акиносима Кацуми,ruwiki,Human,False
Q90419878,8316008,"Алаведра, Бальдири",ruwiki,Human,False
Q94217572,8284372,"Алиомаров, Магомед Алиомарович",ruwiki,Human,False
Q706818,3331412,"Аллен, Клайв",ruwiki,Human,False
Q3910,571877,Альбер II (князь Монако),ruwiki,Human,False
Q4738985,8390522,Амабиэ,ruwiki,Others,False
Q16581287,8086860,"Аньес, Жанин",ruwiki,Human,False
Q4994305,6754096,"Аппельгрен, Микаэль (гандболист)",ruwiki,Human,False
Q28122480,8315822,"Арроусмит, Брайан",ruwiki,Human,False
Q185572,1322956,"Артета, Микель",ruwiki,Human,False
Q2871915,8253293,Аурлус Мабеле,ruwiki,Human,False
Q380445,4020639,"Африди, Шахид",ruwiki,Human,False
Q401433,4082224,Ахмад Ради,ruwiki,Human,False
Q29230,26320,"Ахтисаари, Мартти",ruwiki,Human,False
Q3126401,8439965,"Бакайоко, Амед",ruwiki,Human,False
Q5228272,8303032,"Бакуцци, Дейв",ruwiki,Human,False
Q17371638,6056583,"Балан, Николай Иванович",ruwiki,Human,False
Q18236146,5245134,"Балмусов, Юльен Сергеевич",ruwiki,Human,False
Q230445,1262637,"Бареллис, Сара",ruwiki,Human,False
Q222851,3945725,"Барнс, Харрисон",ruwiki,Human,False
Q438465,683463,"Барнье, Мишель",ruwiki,Human,False
Q3300367,891276,"Барье, Морис",ruwiki,Human,False
Q187058,2674109,"Баччан, Абхишек",ruwiki,Human,False
Q9570,1484101,"Баччан, Амитабх",ruwiki,Human,False
Q4822123,4543528,"Баш, Хайдар",ruwiki,Human,False
Q271765,4216650,"Белл Банди, Лора",ruwiki,Human,False
Q712430,741121,"Бем, Павел",ruwiki,Human,False
Q1545256,8252351,"Бенито, Грегорио",ruwiki,Human,False
Q4084007,1796324,"Бергер, Морис",ruwiki,Human,False
Q466012,5505476,"Берешиньский, Бартош",ruwiki,Human,False
Q5560829,7406038,"Бёрнс, Гилберт",ruwiki,Human,False
Q352696,1892492,"Бизли, Майкл",ruwiki,Human,False
Q456623,2018590,"Билли, Чак",ruwiki,Human,False
Q1317442,4367630,"Бледсо, Эрик",ruwiki,Human,False
Q3148268,4448230,"Боев, Игорь Иванович",ruwiki,Human,False
Q267724,1642200,"Бозе, Лючия",ruwiki,Human,False
Q10304982,7274911,"Болсонару, Жаир",ruwiki,Human,False
Q125663,45572,Борис Акунин,ruwiki,Human,False
Q4095066,278710,"Босуорт, Патриша",ruwiki,Human,False
Q42402,797938,"Бочелли, Андреа",ruwiki,Human,False
Q310098,3205089,"Брайан, Дэвид",ruwiki,Human,False
Q355009,2786871,"Браун, Джексон",ruwiki,Human,False
Q17465755,6975964,"Брогдон, Малкольм",ruwiki,Human,False
Q171530,703449,"Брюэль, Патрик",ruwiki,Human,False
Q465989,3688071,"Буайе, Валери",ruwiki,Human,False
Q4100792,1934866,Бхактичару Свами,ruwiki,Human,False
Q344983,2157098,Бэбифейс,ruwiki,Human,False
Q531599,3478101,"Вайнштейн, Харви",ruwiki,Human,False
Q318410,4633485,"Ван дер Бург, Камерон",ruwiki,Human,False
Q463585,5220851,"Варма, Индира",ruwiki,Human,False
Q1340521,8307105,"Вебер, Анри",ruwiki,Human,False
Q439354,5704086,"Велаяти, Али Акбар",ruwiki,Human,False
Q35191,153523,Венецианский карнавал,ruwiki,Others,False
Q4107168,4088547,Вениамин (Королёв),ruwiki,Human,False
Q29850769,7378947,"Виз, Сидни",ruwiki,Human,False
Q450643,3140563,"Винберг, Эрнест Борисович",ruwiki,Human,False
Q983320,4389549,"Вирата, Сесар",ruwiki,Human,False
Q23762815,6557548,"Влахович, Душан",ruwiki,Human,False
Q87589400,8254654,Влияние пандемии COVID-19 на спорт,ruwiki,Others,False
Q11074974,6603843,"Вулин, Александр",ruwiki,Human,False
Q4128446,397815,"Вустин, Александр Кузьмич",ruwiki,Human,False
Q18613182,8107556,Вьянне,ruwiki,Human,False
Q129816,4408129,"Габбьядини, Маноло",ruwiki,Human,False
Q16889614,6498285,"Гавирия, Фернандо",ruwiki,Human,False
Q15396247,4875477,"Гайя, Хосе Луис",ruwiki,Human,False
Q16235385,7863674,"Галло, Джоуи",ruwiki,Human,False
Q296684,1378583,"Гарай, Эсекьель",ruwiki,Human,False
Q3471309,663652,"Гаспаров, Самвел Владимирович",ruwiki,Human,False
Q116650,1373660,"Гатти, Уго Орландо",ruwiki,Human,False
Q13560902,4499480,"Гилфойл, Кимберли",ruwiki,Human,False
Q16929591,7924989,"Гласноу, Тайлер",ruwiki,Human,False
Q3446792,5275600,"Гобер, Руди",ruwiki,Human,False
Q1363756,2759583,"Гома, Паул",ruwiki,Human,False
Q6140775,8011732,"Горман, Джеймс Патрик",ruwiki,Human,False
Q18345498,6221465,"Гражините-Тила, Мирга",ruwiki,Human,False
Q679049,8240739,"Греготти, Витторио",ruwiki,Human,False
Q3788185,4350481,"Грегуар-Трюдо, Софи",ruwiki,Human,False
Q325363,6437847,"Грёцки, Патрик",ruwiki,Human,False
Q2450102,1106337,"Гринфилд, Дэйв",ruwiki,Human,False
Q720068,6931309,"Давио, Аллен",ruwiki,Human,False
Q187198,1226096,"Далглиш, Кенни",ruwiki,Human,False
Q2896225,7106103,"Дарроз, Элен",ruwiki,Human,False
Q89090767,8263856,"Дашкевич, Виктор Николаевич",ruwiki,Human,False
Q3804395,8251883,"Де Дзан, Итало",ruwiki,Human,False
Q20971281,6942529,"Де Донатис, Анджело",ruwiki,Human,False
Q3035559,7729294,"Де Лег, Доминик",ruwiki,Human,False
Q468812,7469483,"Де Сио, Джульяна",ruwiki,Human,False
Q1383590,727942,"Деведжян, Патрик",ruwiki,Human,False
Q422252,344668,Дексаметазон,ruwiki,Others,False
Q28967968,7128789,"Депаоли, Фабио",ruwiki,Human,False
Q296724,3174764,"Джабриль, Махмуд",ruwiki,Human,False
Q96606866,8372500,Джамбел Лодой,ruwiki,Human,False
Q5397780,5292635,"Джахангири, Эсхак",ruwiki,Human,False
Q94972710,8348485,"Джерман, Уилсон",ruwiki,Human,False
