QID,page_id,item,wiki_db,category
Q10304982,6320140,雅伊爾·博索納羅,zhwiki,Human
Q1067412,6976945,洛伦佐·桑斯,zhwiki,Human
Q107249,5215708,托尼·舍卢卜,zhwiki,Human
Q11101097,3408755,杨晓波_(1963年),zhwiki,Human
Q1133513,1479768,阿羅魯迪斯·查普曼,zhwiki,Human
Q11417946,7025074,和田周,zhwiki,Human
Q11456953,5182243,富川悠太,zhwiki,Human
Q11473366,7021436,岡江久美子,zhwiki,Human
Q1151614,3219270,尼克·沃特尼,zhwiki,Human
Q11703587,6739772,圣地亚哥·阿瓦斯卡尔,zhwiki,Human
Q11720946,6951388,雅罗斯瓦夫·米卡,zhwiki,Human
Q1240022,7022998,唐纳德·肯尼迪,zhwiki,Human
Q125663,3709769,鮑里斯·阿庫寧,zhwiki,Human
Q1270426,3120278,麥西米利安諾·埃利爾·里切茲,zhwiki,Human
Q12897461,6980638,斯坦尼斯拉斯·瓦罗,zhwiki,Human
Q129816,4780008,馬諾羅·加比亞迪尼,zhwiki,Human
Q130853,393899,普拉西多·多明哥,zhwiki,Human
Q1317442,3351677,艾瑞克·布萊德索,zhwiki,Human
Q1320080,301039,志村健,zhwiki,Human
Q1332769,6946853,尼古拉·津加雷蒂,zhwiki,Human
Q1383590,6988530,帕特里克·德维让,zhwiki,Human
Q1431761,5189770,麥克·凱利,zhwiki,Human
Q1438821,5183418,李察·奎斯特,zhwiki,Human
Q148225,906242,維克托·特羅伊茨基,zhwiki,Human
Q14905846,4188990,博爾納·丘里奇,zhwiki,Human
Q15396247,4795954,何塞·路易斯·加亚,zhwiki,Human
Q1545256,6998962,戈约·贝尼托,zhwiki,Human
Q154855,547063,哈维尔·索拉纳,zhwiki,Human
Q15830919,4780040,達尼埃萊·盧加尼,zhwiki,Human
Q160009,1071524,粉红佳人,zhwiki,Human
Q16045603,6944661,穆罕默德·萨德尔_(外交官),zhwiki,Human
Q16048976,6950987,伊斯梅尔·纳杰尔,zhwiki,Human
Q16052285,6940687,穆罕默德·米尔-穆罕默迪,zhwiki,Human
Q16093633,7008362,斯坦利·切拉,zhwiki,Human
Q16226957,6462526,史賓賽·丁威迪,zhwiki,Human
Q16234113,6892889,格瑞戈里·波朗柯,zhwiki,Human
Q16236903,7111983,奧斯汀·米多斯,zhwiki,Human
Q164730,461650,歐嘉·柯瑞蘭寇,zhwiki,Human
Q1655924,3228316,喬治·斯蒂芬諾伯羅斯,zhwiki,Human
Q16581287,6800266,珍妮·艾尼茲,zhwiki,Human
Q1660441,458963,武汉地铁,zhwiki,Others
Q166317,4785579,保羅·戴巴拿,zhwiki,Human
Q16656949,7000296,米什克·卡扎良,zhwiki,Human
Q16672105,7061187,弗拉基米尔·米哈伊洛维奇·洛普欣,zhwiki,Human
Q16885630,6942485,侯赛因·谢赫伊斯兰,zhwiki,Human
Q16929591,7118588,泰勒·格拉斯諾,zhwiki,Human
Q17160443,7039375,天豆琴美,zhwiki,Human
Q17266671,6948323,阿尔贝托·奇里奥,zhwiki,Human
Q17281073,5519532,尼古拉·約基奇,zhwiki,Human
Q17305299,5463037,法蘭西斯·蒂亞弗,zhwiki,Human
Q17306297,6452883,約恩·孟卡達,zhwiki,Human
Q173923,937146,伊利亚·佩特科维奇,zhwiki,Human
Q17465755,5976249,麥爾坎·波格登,zhwiki,Human
Q1771,6771970,伊赫桑·哈达迪,zhwiki,Human
Q1789955,7080618,卡洛斯·莱萨,zhwiki,Human
Q18043515,7037147,叶夫根尼·米克林,zhwiki,Human
Q180589,6688882,鲍里斯·约翰逊,zhwiki,Human
Q18345498,6975825,米尔加·格拉日尼特-蒂拉,zhwiki,Human
Q185572,653214,米克尔·阿特塔,zhwiki,Human
Q1868688,6983377,马克·布鲁姆,zhwiki,Human
Q187058,533086,阿彼锡·巴克罕,zhwiki,Human
Q187198,267934,肯尼·达格利什,zhwiki,Human
Q1921,4018876,布莱瑟·马图伊迪,zhwiki,Human
Q19361829,6957304,乔凡尼·巴蒂斯塔·拉比诺,zhwiki,Human
Q19376488,6954676,朱寶玉,zhwiki,Human
Q1942631,6997053,穆罕默德-礼萨·哈塔米,zhwiki,Human
Q1945815,6327272,奎姆·托拉,zhwiki,Human
Q196185,816003,羅素·衛斯特布魯克,zhwiki,Human
Q19663167,5393010,巴迪·希尔德,zhwiki,Human
Q19974584,7016479,卢克曼·尼奥德,zhwiki,Human
Q2014922,6931019,安迪·科恩,zhwiki,Human
Q201900,818876,鲁斯图·雷茨贝尔,zhwiki,Human
Q204279,219062,戈蘭·伊雲尼斯域,zhwiki,Human
Q205778,872935,帕维尔·波格列布尼亚克,zhwiki,Human
Q207399,1098962,馬爾科·潘特利奇,zhwiki,Human
Q2083681,6976889,埃斯佩兰萨·阿吉雷,zhwiki,Human
Q20971281,6407240,安傑洛·德多納蒂斯,zhwiki,Human
Q211691,1254262,石現俊,zhwiki,Human
Q2130136,5911536,香港西九龍站,zhwiki,Others
Q213616,1318498,托马斯·卡伦博格,zhwiki,Human
Q21405631,6973873,哈米德·卡赫拉姆,zhwiki,Human
